A@01,A@21,A@22,A@23,A@24,A@41,A@42,A@43,A@44,A@45,A@46,A@47,A@61,A@62,A@63,B@01,B@02,B@03,B@04,B@05,B@06,B@07,B@08,B@09,B@21,B@22,B@23,B@24,B@25,B@26,B@27,B@28,B@29,B@30,B@31,B@32,B@33,B@41,B@42,B@43,B@44,B@60,B@61,B@62,B@63,B@64,B@65,B@66,B@67,B@68,B@81,B@82,C@01,C@02,C@03,C@04,C@05,C@06,C@07,C@08,C@09,C@10,C@11,C@12,C@13,C@14,C@21,C@22,C@23,C@25,C@30,C@40,D@01,D@02,D@03,D@04,D@05,D@06,D@07,D@10,D@21,E@01,E@02,E@03,E@04,E@05,E@06,E@21,F@01,F@02,F@03,F@04,F@05,F@15,F@16,F@17,F@21,F@22,F@23,F@24,F@25,F@26,F@27,F@28,F@41,F@42,G@01,G@02,G@03,G@04,G@05,G@06,G@07,G@08,G@09,G@10,G@11,G@16,G@21,H@01,H@02,H@03,H@04,H@05,Y@02,Y@04,Y@10
0.02848,0.003352,0.002671,0.01852,0.005159,0.007063,0.002439,0.004704,0.003783,0.007537,0.004533,0.02766,0.1652,0.005638,0.03808,0.08835,0.002957,0.004,0.002619,0.01274,0.003805,0.002017,0.007309,0.003492,0.01198,0.01375,0.02458,0.01469,0.01259,0.009608,0.004346,0.005797,0.06284,0.005416,0.01065,0.03945,0.01004,0.02982,0.006611,0.006005,0.005641,0.06769,0.005358,0.01764,0.01319,0.01607,0.05548,0.006773,0.002794,0.001584,0.009977,0.0292,0.0319,0.01751,0.01428,0.02061,0.005696,0.002026,0.07338,0.05836,0.03982,0.02364,0.01475,0.04803,0.001119,0.001648,0.008856,0.01794,0.02553,0.01243,0.006209,0.005139,0.008262,0.001393,0.003253,0.006811,0.003134,0.01123,0.002491,0.003621,0.009348,0.006706,0.01115,0.005604,0.02179,0.02631,0.01083,0.01397,0.0255,0.03722,0.006285,0.01413,0.01481,0.008556,0.07366,0.01186,0.01784,0.00471,0.01441,0.01388,0.01323,0.004848,0.007953,0.01287,0.008209,0.005667,0.08036,0.06993,0.04456,0.003205,0.02552,0.1529,0.01951,0.01933,0.05388,0.01457,0.05401,0.01562,0.006458,0.1791,0.05202,0.0307,0.1761,0.07021,0.1519,0.007977,0.2587
0.02609,0.00284,0.002313,0.01685,0.00501,0.006009,0.002094,0.004304,0.003279,0.005734,0.003867,0.02573,0.1626,0.004906,0.03277,0.07853,0.002368,0.003424,0.002149,0.01235,0.0033,0.00177,0.005615,0.003212,0.01003,0.01312,0.02328,0.01181,0.01188,0.008672,0.003596,0.00492,0.06942,0.004549,0.00946,0.03328,0.009159,0.02825,0.006252,0.005238,0.004195,0.07107,0.004834,0.01638,0.01205,0.01385,0.05226,0.00588,0.002689,0.001198,0.008851,0.02366,0.02797,0.01508,0.01191,0.01932,0.004893,0.001646,0.06282,0.05775,0.03733,0.02354,0.0134,0.04258,0.001064,0.001429,0.007667,0.0172,0.02211,0.009686,0.006101,0.004323,0.007196,0.001013,0.002875,0.005735,0.002542,0.01075,0.002293,0.003002,0.008678,0.005084,0.01003,0.005265,0.02202,0.02273,0.008331,0.01222,0.02132,0.03504,0.005259,0.01245,0.01228,0.00849,0.07268,0.009061,0.01663,0.003977,0.01135,0.0134,0.01021,0.004,0.006734,0.01134,0.006858,0.004747,0.07768,0.07665,0.04425,0.002809,0.02168,0.1307,0.01706,0.01819,0.04414,0.01338,0.04821,0.01301,0.005806,0.2025,0.0399,0.02941,0.1534,0.06411,0.1447,0.007041,0.2481
0.01577,0.001111,0.001165,0.01014,0.001944,0.00316,0,0.002083,0.001536,0.003439,0.002029,0.01816,0.1206,0.002469,0.02361,0.06364,0.001334,0.001862,0,0.007474,0.001852,0,0.00336,0.001583,0.005687,0.006291,0.01557,0.006239,0.005466,0.004168,0.001748,0.002671,0.04791,0.002489,0.005778,0.02376,0.004506,0.01745,0.002658,0.00302,0.002745,0.05219,0.00257,0.01019,0.005473,0.008278,0.03623,0.003245,0.001073,0,0.005017,0.01859,0.01923,0.008076,0.006456,0.01199,0.00256,0,0.05445,0.04272,0.02675,0.01436,0.008,0.03119,0,0,0.004147,0.008518,0.0151,0.005934,0.002771,0.002332,0.003852,0,0.001282,0.003441,0.001207,0.006128,0,0.001552,0.004678,0.00256,0.005389,0.00234,0.01382,0.01458,0.005695,0.008127,0.01394,0.02006,0.002712,0.007931,0.007655,0.004325,0.05097,0.005739,0.009828,0.00226,0.006509,0.008343,0.006942,0.002532,0.003579,0.006204,0.003362,0.002183,0.06376,0.04572,0.02558,0.001346,0.01431,0.151,0.01016,0.01197,0.02911,0.007878,0.036,0.007256,0.002732,0.1529,0.03263,0.01717,0.1413,0.04049,0.1077,0.004538,0.2371
0.03195,0.002861,0.002399,0.01554,0.004337,0.005969,0.002229,0.004111,0.004366,0.007309,0.003559,0.02611,0.2208,0.00451,0.03479,0.0978,0.002946,0.004627,0.002418,0.01118,0.003726,0.002102,0.005816,0.003025,0.01142,0.01347,0.02442,0.01168,0.01081,0.006713,0.003335,0.004912,0.05709,0.005062,0.008257,0.04139,0.009601,0.03422,0.006404,0.005246,0.004941,0.06624,0.005322,0.01712,0.01111,0.01336,0.04671,0.005515,0.002788,0.001658,0.009009,0.03142,0.03375,0.01784,0.01463,0.02231,0.005172,0.001893,0.1565,0.07672,0.03826,0.02869,0.01403,0.07114,0.001111,0.001598,0.007321,0.01935,0.02405,0.01272,0.006486,0.005157,0.008696,0.001325,0.003349,0.006704,0.002601,0.01265,0.002414,0.003644,0.01041,0.004955,0.006688,0.004708,0.02666,0.02552,0.0102,0.01381,0.02429,0.03331,0.005182,0.01411,0.01299,0.008902,0.07883,0.01012,0.01688,0.004389,0.01281,0.01677,0.01291,0.003814,0.007067,0.01196,0.008296,0.004964,0.09425,0.06592,0.04617,0.003558,0.02672,0.1469,0.01519,0.01969,0.04857,0.01496,0.05623,0.01503,0.005803,0.1958,0.04312,0.0342,0.1755,0.06696,0.1366,0.006551,0.2841
0.08846,0.01861,0.01679,0.06363,0.02355,0.03209,0.01601,0.02655,0.02196,0.03252,0.02348,0.07753,0.273,0.02957,0.09594,0.1806,0.01861,0.02574,0.01562,0.04899,0.02042,0.01444,0.03463,0.02273,0.04653,0.05472,0.07857,0.05218,0.04926,0.0399,0.02219,0.02742,0.1379,0.02638,0.04365,0.09527,0.03898,0.07879,0.03411,0.02956,0.02629,0.1484,0.02812,0.06164,0.04461,0.05232,0.1344,0.03134,0.01836,0.01175,0.03681,0.08914,0.08639,0.06306,0.05118,0.06231,0.02735,0.01447,0.1754,0.1464,0.1055,0.0799,0.05193,0.1204,0.009342,0.01195,0.03689,0.06082,0.07202,0.04347,0.03622,0.02553,0.03309,0.0103,0.02035,0.0281,0.01938,0.04682,0.01778,0.01975,0.03979,0.03497,0.0461,0.02973,0.06625,0.07543,0.04092,0.05448,0.07545,0.09907,0.02702,0.05399,0.05405,0.03827,0.1519,0.0441,0.06147,0.0254,0.04725,0.05335,0.04885,0.02394,0.03285,0.044,0.03457,0.02931,0.1674,0.1382,0.1125,0.02056,0.07442,0.2193,0.0621,0.05977,0.1095,0.04898,0.1246,0.05493,0.03387,0.2612,0.1128,0.08641,0.2273,0.143,0.2255,0.03724,0.3131
0.03023,0.002046,0.002389,0.01414,0.004273,0.006044,0.001951,0.003705,0.003532,0.005639,0.004018,0.02817,0.1305,0.00467,0.02646,0.08827,0.002514,0.004186,0.002324,0.01267,0.003355,0.001436,0.005686,0.00257,0.01181,0.01181,0.02185,0.01059,0.01174,0.009216,0.00374,0.005547,0.07111,0.004877,0.008466,0.04045,0.008629,0.0293,0.004573,0.005458,0.004478,0.06265,0.00458,0.01262,0.00996,0.01146,0.04788,0.00559,0.002445,0.001839,0.01052,0.02333,0.02606,0.01369,0.0113,0.01987,0.00491,0.001977,0.05659,0.0532,0.04373,0.02192,0.01265,0.05085,0.00111,0.001434,0.007617,0.01707,0.02534,0.0106,0.005353,0.003739,0.006117,0.001396,0.002721,0.005968,0.002348,0.01188,0.002414,0.002661,0.007973,0.004605,0.01032,0.004704,0.01946,0.02051,0.009003,0.01249,0.02429,0.02845,0.005319,0.01188,0.01091,0.006982,0.07332,0.009052,0.01324,0.003979,0.01013,0.01286,0.01176,0.004832,0.005695,0.01258,0.005314,0.004027,0.07446,0.06835,0.03098,0.002827,0.02133,0.1069,0.01635,0.01493,0.03953,0.01101,0.06061,0.01125,0.005282,0.2059,0.04216,0.02645,0.1083,0.06942,0.1204,0.007333,0.2898
0.01103,0,0,0.005317,0,0.001155,0,0,0,0.001506,0,0.009076,0.1382,0,0.01357,0.04854,0,0,0,0.003197,0,0,0.001212,0,0.002896,0.003706,0.007934,0.003318,0.002731,0.002166,0,0.001095,0.0249,0.00113,0.002,0.0133,0.00222,0.01169,0.001442,0,0.001018,0.02847,0.001086,0.004597,0.002823,0.003701,0.02715,0.001293,0,0,0.001657,0.01236,0.01171,0.004149,0.003157,0.006005,0,0,0.06657,0.03503,0.01333,0.01224,0.004549,0.0288,0,0,0.001531,0.005836,0.006725,0.002313,0.001708,0,0.00161,0,0,0.001094,0,0.003539,0,0,0.002215,0.001089,0.002099,0,0.006348,0.007508,0.002383,0.003734,0.006729,0.01238,0,0.003645,0.003353,0.002081,0.03785,0.002092,0.005329,0,0.003319,0.003258,0.003448,0,0.001545,0.003245,0.001524,0.001001,0.05473,0.03563,0.02298,0,0.007404,0.06165,0.004636,0.004313,0.01493,0.003359,0.02484,0.003327,0.001269,0.1578,0.01895,0.01062,0.1013,0.0344,0.0877,0.001296,0.2065
0.0214,0.001368,0.0011,0.01068,0.002014,0.003052,0.001018,0.001999,0.001605,0.00321,0.001854,0.0174,0.1602,0.002527,0.02176,0.06128,0.001259,0.001845,0.001143,0.006427,0.00158,0,0.003319,0.001655,0.006642,0.007774,0.01345,0.006979,0.006175,0.003691,0.001822,0.002576,0.04101,0.002301,0.005203,0.02384,0.004613,0.0173,0.002882,0.002508,0.002589,0.05342,0.002765,0.009499,0.006166,0.00893,0.03231,0.002986,0.001255,0,0.004057,0.01971,0.01851,0.007713,0.007668,0.01274,0.002459,0,0.07029,0.04582,0.02532,0.01426,0.007555,0.03778,0,0,0.004568,0.008853,0.01377,0.007286,0.003208,0.002247,0.00388,0,0.001226,0.003185,0.001262,0.006961,0.001107,0.001795,0.005073,0.003013,0.004481,0.002398,0.01363,0.01472,0.00596,0.008581,0.01478,0.0204,0.002352,0.006523,0.007567,0.004625,0.05155,0.006338,0.01085,0.002201,0.006851,0.008468,0.006304,0.001891,0.004071,0.005882,0.003804,0.002464,0.06934,0.0505,0.03094,0.001306,0.01464,0.1538,0.01072,0.01282,0.02993,0.00808,0.03694,0.00871,0.002802,0.1165,0.03147,0.02323,0.207,0.04714,0.1076,0.00416,0.2106
0.005792,0,0,0.003025,0,0,0,0,0,0,0,0.006256,0.08458,0,0.009291,0.03168,0,0,0,0.001891,0,0,0,0,0.001586,0.002215,0.005663,0.001757,0.001623,0.001099,0,0,0.02145,0,0.00133,0.008618,0.001505,0.006705,0,0,0,0.02598,0,0.003371,0.001709,0.002044,0.01823,0,0,0,0.001149,0.007172,0.006947,0.002814,0.00204,0.003192,0,0,0.03019,0.01923,0.01195,0.005338,0.002527,0.01205,0,0,0.001036,0.00332,0.004946,0.001776,0,0,0,0,0,0,0,0.001797,0,0,0.00125,0,0.001488,0,0.004069,0.005465,0.001288,0.002051,0.005798,0.009117,0,0.002245,0.002626,0.001077,0.02384,0.001268,0.002959,0,0.002208,0.002224,0.001754,0,0,0.001736,0,0,0.02967,0.02932,0.0139,0,0.004615,0.07154,0.003707,0.003147,0.01052,0.002174,0.01938,0.002489,0,0.1829,0.01597,0.00747,0.08727,0.02638,0.06517,0,0.1863
0.04058,0.004017,0.003619,0.02367,0.007045,0.008561,0.003224,0.00638,0.004786,0.008145,0.005356,0.03381,0.2228,0.006988,0.04394,0.103,0.003751,0.005942,0.003786,0.01901,0.004932,0.002943,0.00843,0.005615,0.0131,0.02112,0.02621,0.0163,0.01613,0.0121,0.006287,0.00834,0.07497,0.007275,0.01491,0.04823,0.01183,0.03425,0.007846,0.007851,0.006795,0.08963,0.006542,0.02226,0.01427,0.0212,0.06099,0.008898,0.00357,0.002479,0.01256,0.03354,0.03731,0.02141,0.0178,0.02724,0.007352,0.002992,0.1076,0.07495,0.04843,0.0348,0.01825,0.06136,0.001719,0.002436,0.01089,0.02068,0.0276,0.01298,0.008552,0.007095,0.01006,0.001918,0.004239,0.008531,0.003627,0.01489,0.003398,0.004889,0.01208,0.007593,0.01202,0.006587,0.02957,0.02976,0.01169,0.01647,0.0293,0.04296,0.007111,0.01636,0.01683,0.01093,0.07429,0.01205,0.02046,0.005682,0.01464,0.0203,0.01435,0.006667,0.009457,0.0162,0.01005,0.007425,0.09535,0.07183,0.04642,0.004232,0.02699,0.145,0.02369,0.02371,0.05112,0.01722,0.06553,0.0188,0.007632,0.1661,0.0561,0.03683,0.173,0.07053,0.1618,0.01022,0.2788
